element,Atomic weight (g/mol),Atomic number,Period,Group,Quantum number ℓ,Metal(1)/metalloid(2)/nonmetal(3),Mendeleev_number,Families,Valence_s,Valence_p,Valence_d,Valence_f,Unfilled_s,Unfilled_p,Unfilled_d,Unfilled_f,No. of valence electrons,Outer shell electrons,Gilman no. of valence electrons,Metallic valence,Zeff,Ionization energy (kJ/mol),Electron affinity (kJ/mol),Pauling EN,Martynov Batsanov EN,Mulliken EN,Allred EN,Allred Rockow EN,Nagle EN,Ghosh EN,Atomic radius calculated (m),Covalent radius(m),Effective ionic radius(m),Miracle radius (m),van der Waals radius (m),Slater radius(m),"Pauling, R(CN12) (m)","Pauling, R(1) (m)",Polarizability (m^3),Boiling point (K),Density (g/L),Specific heat (kJ/g K),Heat of fusion (kJ/mol),Heat of vaporization (kJ/mol),Heat of atomization (kJ/mol),Thermal conductivity (W/m K),Thermal expansion (1/K),Cohesive energy (kJ/mol),Bulk modulus (Pa),Shear modulus (Pa),Young's modulus (Pa),Hardness Vickers (Pa),Hardness Brinell (Pa),Resistivity (Ω),Electrical Conductivity (S/m),DFT LDA Etot (kJ/mol),DFT LDA Ekin (kJ/mol),DFT LDA Ecoul (kJ/mol),DFT LDA Eenuc (kJ/mol),DFT LDA Exc (kJ/mol),DFT LSD Etot (kJ/mol),DFT LSD Ekin (kJ/mol),DFT LSD Ecoul (kJ/mol),DFT LSD Eenuc (kJ/mol),DFT LSD Exc (kJ/mol),DFT RLDA Etot (kJ/mol),DFT RLDA Ekin (kJ/mol),DFT RLDA Ecoul (kJ/mol),DFT RLDA Eenuc (kJ/mol),DFT RLDA Exc (kJ/mol),DFT ScRLDA Etot (kJ/mol),DFT ScRLDA Ekin (kJ/mol),DFT ScRLDA Ecoul (kJ/mol),DFT ScRLDA Eenuc (kJ/mol),DFT ScRLDA Exc (kJ/mol)
H,1.008,1,1,1,0,3,92,7,1,0,0,0,1,6,10,14,1,1,1,0,1,1312.007109,73.0393721,2.2,2.1,7.18,2.2,2.3,2.27,8.22,5.3E-11,3.7E-11,1E-11,5.1E-11,1.2E-10,2.5E-11,,,7E-31,20.25,0.08988,0.014304,0.5868,0.44936,218,0.1815,,0,200000000,,,,,,,-1170.109211,1115.908389,742.5622885,-2418.082875,-610.4943875,-1256.750711,1225.171197,783.3888135,-2535.232685,-730.078036,-1170.101334,1115.89001,742.554412,-2418.077624,-610.470758,-1170.101334,1115.89001,742.554412,-2418.074998,-610.4681325
He,4.003,2,1,18,0,3,98,9,2,0,0,0,0,6,10,14,2,2,2,0,1.344,2372.284071,-49.9793854,,,,,4.16,3.92,40.4,3.1E-11,3.2E-11,5.6E-11,1.19E-10,1.4E-10,3.1E-11,,,1.98E-31,4.25,0.1785,0.005193,0.02,0.0845,0,0.152,,,,,,,,,,-7442.861918,7267.179211,5240.81306,-17395.41828,-2555.435907,-7442.861918,7267.179211,5240.81306,-17395.41828,-2555.435907,-7442.728018,7266.788012,5240.592518,-17395.23975,-2554.868799,-7442.728018,7266.730251,5240.576765,-17395.17411,-2554.863548
Li,6.941,3,2,1,0,1,1,1,1,0,0,0,1,6,10,14,1,1,1,1,1.259,520.2487376,60.0138566,0.98,0.9,3.01,0.98,0.912,0.94,1.13,1.67E-10,1.34E-10,7.6E-11,1.52E-10,1.82E-10,1.45E-10,1.549E-10,1.225E-10,2.43E-29,1615.15,534,0.0036,3,145.92,161,84.7,0.000046,157.271039,11600000000,4200000000,4900000000,,5000000,9.4E-11,11000000,-19258.55447,19002.01424,10477.72725,-44399.93815,-4338.357822,-19281.5591,19034.59145,10526.30688,-44470.50371,-4371.95372,-19258.64899,19002.2978,10477.66162,-44402.23808,-4336.367693,-19258.64899,19002.00637,10477.59335,-44401.9099,-4336.338812
Be,9.012,4,2,2,0,1,67,2,2,0,0,0,0,6,10,14,2,2,2,2,1.656,899.5324519,-50.0758707,1.57,1.45,4.9,1.57,1.576,1.55,3.81,1.12E-10,9E-11,4.5E-11,1.12E-10,1.53E-10,1.05E-10,1.123E-10,8.89E-11,5.6E-30,3243.15,1850,0.00182,7.95,292.4,324,200,0.0000113,320.331196,1.1E+11,1.32E+11,2.87E+11,1670000000,600000000,4E-11,25000000,-37931.14723,37569.39271,18681.10725,-87578.89277,-6602.754428,-37931.14723,37569.39271,18681.10725,-87578.89277,-6602.754428,-37933.21612,37575.59677,18682.378,-87593.31201,-6597.876249,-37933.21612,37574.51769,18682.1312,-87592.07803,-6597.786982
B,10.811,5,2,13,1,2,72,6,2,1,0,0,0,5,10,14,3,3,3,3,1.561,800.6350194,27.015884,2.04,1.9,4.29,2.04,2.051,2.02,9.04,8.7E-11,8.2E-11,2.7E-11,7.8E-11,1.8E-10,8.5E-11,9.8E-11,8E-11,3E-30,4275,2370,0.00102,50.2,489.7,573,27,0.000006,560.579593,1.78E+11,1.967E+11,4E+11,49000000000,,10,0.0001,-63915.69185,63434.8289,30201.13175,-148300.2832,-9251.36933,-63940.41356,63464.7701,30267.37837,-148384.7009,-9287.861155,-63923.91754,63459.51385,30205.74738,-148347.4582,-9241.720618,-63923.91754,63456.71244,30205.18815,-148344.2839,-9241.531582
C,12.011,6,2,14,1,3,77,7,2,2,0,0,0,4,10,14,4,4,4,4,1.819,1086.424478,122.0539045,2.55,2.37,6.27,2.55,2.544,2.55,17.6,6.7E-11,7.7E-11,1.6E-11,7.7E-11,1.7E-10,7E-11,9.14E-11,7.71E-11,1.8E-30,5100.15,2267,0.00071,105,355.8,717,129,0.0000071,711.096661,4.43E+11,,,,,0.00000001,100000,-98261.304,97643.37157,46282.30612,-229771.7142,-12415.26486,-98377.56639,97780.60908,46531.16939,-230115.7177,-12573.62715,-98283.41596,97709.77047,46293.62465,-229888.3914,-12398.41965,-98283.41334,97703.56378,46292.52457,-229881.426,-12398.07571
N,14.007,7,2,15,1,3,82,7,2,3,0,0,0,3,10,14,5,5,5,3,2.068,1402.31735,-0.0964853,3.04,2.85,7.3,3.04,3.066,3.12,30.5,5.6E-11,7.5E-11,1.46E-10,7.2E-11,1.55E-10,6.5E-11,8.8E-11,7E-11,1.1E-30,77.35,1.2506,0.00104,0.3604,2.7928,473,0.02598,,474.707676,1200000000,,,,,,,-141842.6795,141072.6492,67737.49305,-334531.3092,-16121.51255,-142136.1658,141412.5202,68276.35067,-335323.1889,-16501.85036,-141891.1672,141218.3067,67760.67359,-334775.6724,-16094.47253,-141891.162,141206.001,67758.69659,-334761.9647,-16093.89492
O,15.999,8,2,16,1,3,87,7,2,4,0,0,0,2,10,14,6,6,6,0,2.001,1313.936815,140.9650233,3.44,3.32,7.54,3.44,3.61,3.62,48.4,4.8E-11,7.3E-11,1.4E-10,6.4E-11,1.52E-10,6E-11,,6.6E-11,7.93E-31,90.15,1.429,0.00092,0.22259,3.4099,249,0.02674,,252.791486,2246948680,,,,,,,-195529.0637,194593.8711,95387.3083,-465114.0935,-20396.14949,-195671.715,194756.4735,95594.12156,-465446.8704,-20575.43964,-195622.4685,194874.5974,95429.83615,-465571.6105,-20355.29146,-195622.4553,194852.11,95426.52014,-465546.7077,-20354.37779
F,18.998,9,2,17,1,3,93,8,2,5,0,0,0,1,10,14,7,7,7,0,2.263,1681.063382,328.05002,3.98,3.78,10.41,3.98,4.193,4.23,72.3,4.2E-11,7.1E-11,1.33E-10,6.6E-11,1.47E-10,5E-11,,6.4E-11,6.34E-31,85.05,1.696,0.00082,0.2552,3.2698,79,0.0279,,81.047652,2200000000,,,,,,,-260186.1258,259074.1819,130055.1533,-624052.0652,-25263.39853,-260224.3111,259117.1588,130102.9007,-624133.9781,-25310.39236,-260350.4585,259568.2905,130127.4701,-624841.8129,-25204.4088,-260350.4217,259529.7141,130122.1928,-624799.293,-25203.03304
Ne,20.18,10,2,18,1,3,99,9,2,6,0,0,0,0,10,14,8,8,8,0,2.518,2080.705495,-120.0277132,,,,,4.789,4.89,98,3.8E-11,6.9E-11,1.02E-10,1.31E-10,1.54E-10,3.8E-11,,,3.96E-31,25.15,0.8999,0.000904,0.3317,1.7326,0,0.0493,,1.929706,,,,,,,,-336677.0044,335377.8702,172564.8942,-813874.0349,-30745.73397,-336677.0044,335377.8702,172564.8942,-813874.0349,-30745.73397,-336947.2261,336190.7408,172681.0779,-815155.5283,-30663.51643,-336947.1368,336127.8207,172673.0307,-815086.4592,-30661.52893
Na,22.99,11,3,1,0,1,2,1,1,0,0,0,1,6,10,14,1,1,1,1,1.842,495.8379567,52.9704297,0.93,0.89,2.85,0.93,0.869,0.95,1.08,1.9E-10,1.54E-10,7.2E-11,1.8E-10,2.27E-10,1.8E-10,1.896E-10,1.572E-10,2.36E-29,1156.15,970,0.00123,2.598,96.96,109,141,0.00007,107.3881389,6800000000,3300000000,10000000000,,690000,4.7E-11,21000000,-423860.8775,422433.9472,209337.6709,-1020128.5,-35503.9985,-423880.7394,422461.998,209475.2655,-1020285.111,-35532.89476,-424285.2397,423711.0166,209527.5838,-1022129.847,-35393.99005,-424285.0612,423610.2972,209514.7267,-1022019.049,-35391.03374
Mg,24.305,12,3,2,0,1,68,2,2,0,0,0,0,6,10,14,2,2,2,2,2.248,737.7266038,-39.9449142,1.31,1.31,3.75,1.31,1.293,1.32,2.35,1.45E-10,1.3E-10,5.4E-11,1.6E-10,1.73E-10,1.5E-10,1.598E-10,1.364E-10,1.06E-29,1363.15,1740,0.00102,8.954,127.4,148,156,0.0000248,145.692803,35600000000,17000000000,45000000000,,260000000,4.4E-11,23000000,-522840.5105,521270.7214,251190.2229,-1254724.216,-40577.2364,-522840.5105,521270.7214,251190.2229,-1254724.216,-40577.2364,-523479.9746,523196.0058,251482.126,-1257724.574,-40433.52966,-523479.6438,523040.101,251462.6238,-1257553.095,-40429.27372
